"Livestock and Poultry (Household): Farmgate Prices by Commodity, Province, Region, Monthly, 2010-2026"

"Geolocation";"Type";"2010 January";"2010 February";"2010 March";"2010 April";"2010 May";"2010 June";"2010 July";"2010 August";"2010 September";"2010 October";"2010 November";"2010 December";"2011 January";"2011 February";"2011 March";"2011 April";"2011 May";"2011 June";"2011 July";"2011 August";"2011 September";"2011 October";"2011 November";"2011 December";"2012 January";"2012 February";"2012 March";"2012 April";"2012 May";"2012 June";"2012 July";"2012 August";"2012 September";"2012 October";"2012 November";"2012 December";"2013 January";"2013 February";"2013 March";"2013 April";"2013 May";"2013 June";"2013 July";"2013 August";"2013 September";"2013 October";"2013 November";"2013 December";"2014 January";"2014 February";"2014 March";"2014 April";"2014 May";"2014 June";"2014 July";"2014 August";"2014 September";"2014 October";"2014 November";"2014 December";"2015 January";"2015 February";"2015 March";"2015 April";"2015 May";"2015 June";"2015 July";"2015 August";"2015 September";"2015 October";"2015 November";"2015 December";"2016 January";"2016 February";"2016 March";"2016 April";"2016 May";"2016 June";"2016 July";"2016 August";"2016 September";"2016 October";"2016 November";"2016 December";"2017 January";"2017 February";"2017 March";"2017 April";"2017 May";"2017 June";"2017 July";"2017 August";"2017 September";"2017 October";"2017 November";"2017 December";"2018 January";"2018 February";"2018 March";"2018 April";"2018 May";"2018 June";"2018 July";"2018 August";"2018 September";"2018 October";"2018 November";"2018 December";"2019 January";"2019 February";"2019 March";"2019 April";"2019 May";"2019 June";"2019 July";"2019 August";"2019 September";"2019 October";"2019 November";"2019 December";"2020 January";"2020 February";"2020 March";"2020 April";"2020 May";"2020 June";"2020 July";"2020 August";"2020 September";"2020 October";"2020 November";"2020 December";"2021 January";"2021 February";"2021 March";"2021 April";"2021 May";"2021 June";"2021 July";"2021 August";"2021 September";"2021 October";"2021 November";"2021 December";"2022 January";"2022 February";"2022 March";"2022 April";"2022 May";"2022 June";"2022 July";"2022 August";"2022 September";"2022 October";"2022 November";"2022 December";"2023 January";"2023 February";"2023 March";"2023 April";"2023 May";"2023 June";"2023 July";"2023 August";"2023 September";"2023 October";"2023 November";"2023 December";"2024 January";"2024 February";"2024 March";"2024 April";"2024 May";"2024 June";"2024 July";"2024 August";"2024 September";"2024 October";"2024 November";"2024 December";"2025 January";"2025 February";"2025 March";"2025 April";"2025 May";"2025 June";"2025 July";"2025 August";"2025 September";"2025 October";"2025 November";"2025 December";"2026 January";"2026 February";"2026 March";"2026 April";"2026 May";"2026 June";"2026 July";"2026 August";"2026 September";"2026 October";"2026 November";"2026 December"
"....Davao de Oro";"Chicken egg, Layer";4.22;4.33;4.50;4.52;4.46;4.61;4.68;4.42;4.41;4.41;4.43;4.39;4.35;4.37;3.90;3.92;3.95;3.87;3.88;4.41;4.87;5.12;5.30;5.38;5.39;5.53;5.62;5.75;5.88;5.92;5.88;5.82;5.95;6.06;6.28;6.82;6.81;6.63;6.67;6.14;6.01;6.57;6.14;8.21;7.93;8.07;8.14;8.60;7.96;8.52;8.83;8.36;7.86;7.50;7.04;7.86;7.63;7.31;6.71;6.87;6.72;6.33;5.65;5.78;5.98;5.76;5.56;5.29;5.29;5.49;5.69;5.60;6.11;5.53;5.82;5.40;5.32;5.18;5.65;6.00;6.00;5.00;5.02;5.43;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5.91;5.96;5.98;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8.07;8.07;8.07;8.49;8.47;7.70;7.36;7.36;7.36;7.36;7.36;7.36;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao de Oro";"Chicken egg, Native";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8.00;..;9.00;7.03;7.62;6.00;10.00;..;..;9.00;9.00;9.00;..;..;..;..;..;..;..;..;..;..;..;..;10.17;11.04;10.36;..;..;..;8.00;8.00;8.00;..;..;..;8.69;10.83;10.67;10.00;10.00;10.00;7.07;6.60;6.60;10.00;10.00;10.00;9.56;9.60;9.44;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao de Oro";"Duck egg";5.23;5.26;5.29;5.35;5.25;5.27;5.26;5.20;4.69;4.87;5.52;5.79;5.76;5.77;5.07;5.08;5.17;5.64;5.82;5.92;4.77;4.67;5.28;5.43;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9.00;9.00;9.00;..;..;..;..;..;..;9.00;9.00;9.00;..;..;..;12.00;12.00;12.00;10.00;10.00;11.00;10.00;10.00;10.00;10.00;10.00;10.00;9.87;9.87;9.87;11.17;11.17;11.17;11.00;11.00;11.00;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao del Norte";"Chicken egg, Layer";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7.93;7.50;7.27;7.83;7.83;7.83;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao del Norte";"Chicken egg, Native";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5.58;5.59;5.59;8.00;8.50;8.50;6.00;5.50;6.00;..;..;..;9.70;9.80;10.00;10.00;10.00;10.00;9.00;8.00;8.00;11.00;11.00;11.00;11.00;11.00;11.00;11.00;11.00;11.00;..;..;..;11.00;11.00;11.00;8.00;8.00;8.00;8.00;8.00;8.00;8.67;8.67;8.67;9.00;9.75;9.92;10.50;10.50;10.50;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao del Norte";"Duck egg";6.02;5.93;5.59;5.46;5.09;5.71;6.78;6.90;6.22;4.23;4.40;5.20;6.74;5.71;4.10;3.89;5.73;6.81;6.92;5.17;5.19;4.59;5.66;6.30;6.67;5.66;5.22;5.43;5.11;6.52;6.75;6.87;6.04;5.32;5.21;5.81;6.50;6.56;6.30;5.80;5.88;6.33;6.83;6.72;6.81;4.40;5.03;6.47;7.30;6.79;5.82;5.87;6.72;7.29;7.31;6.88;5.63;6.28;6.18;6.78;7.00;7.61;8.35;8.57;8.37;8.43;8.42;8.72;8.83;8.86;8.87;8.79;8.02;7.00;8.10;6.78;6.98;7.21;7.70;7.97;7.00;6.78;7.11;7.50;7.15;6.91;7.87;6.81;6.10;6.76;7.45;6.94;7.78;7.55;7.29;7.19;7.18;7.80;7.09;6.94;7.00;7.11;7.57;7.99;7.30;7.04;7.20;7.57;7.98;7.81;7.64;6.59;6.49;7.33;8.05;8.60;8.71;7.84;7.38;7.78;8.22;8.44;7.87;6.28;8.28;9.13;10.59;10.00;8.16;8.00;8.07;9.34;10.40;8.23;8.16;8.18;8.15;8.40;9.63;8.59;7.91;7.14;8.48;8.71;9.28;9.39;9.31;8.03;8.45;9.34;10.50;10.75;10.00;10.12;9.43;10.33;..;..;..;9.48;9.55;9.74;9.80;9.59;9.39;8.27;9.11;9.36;8.90;9.00;9.00;10.22;10.22;10.67;10.67;10.24;10.21;8.50;9.50;10.50;8.90;8.90;8.90;9.29;9.47;10.19;9.89;9.89;9.89;12.00;13.50;15.00;9.50;9.50;8.67;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao del Sur";"Chicken egg, Layer";5.40;5.38;5.32;5.21;5.51;5.52;5.05;5.19;5.67;5.47;5.19;5.36;5.46;5.54;5.87;5.82;5.72;5.39;5.89;5.60;5.89;5.49;5.89;5.69;5.59;5.77;5.86;6.03;6.06;5.96;5.61;5.92;6.00;5.96;6.31;5.92;6.14;6.49;5.97;5.77;6.23;6.55;6.51;6.44;5.59;6.58;6.60;6.60;6.58;6.78;6.72;6.35;6.47;6.57;6.42;6.17;6.46;6.31;6.76;6.45;6.05;6.36;5.81;5.97;5.74;6.47;6.52;5.44;6.89;6.50;6.42;6.75;6.32;7.65;7.81;6.24;6.58;5.55;5.08;5.47;4.75;5.00;5.20;..;5.26;5.36;5.34;5.31;6.03;6.16;5.88;5.74;6.09;5.86;5.90;5.75;5.36;6.10;6.00;5.81;6.50;6.42;6.12;6.41;6.50;6.03;6.16;5.69;6.53;6.10;6.39;5.12;6.51;7.24;6.63;7.03;6.85;6.17;6.30;6.97;6.99;7.48;7.87;8.01;7.82;6.62;7.31;6.05;6.58;7.34;7.50;7.65;6.37;7.86;5.85;7.14;8.04;6.39;7.20;6.82;6.80;7.89;6.45;7.42;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao del Sur";"Chicken egg, Native";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4.85;4.85;6.00;7.00;7.00;7.00;7.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;7.50;7.50;8.00;7.15;7.50;7.50;9.00;9.00;9.00;7.00;7.00;7.00;7.00;7.00;7.00;7.32;7.50;7.50;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao del Sur";"Duck egg";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6.69;..;..;..;..;..;..;6.96;7.06;9.85;6.87;7.14;7.25;8.83;8.56;7.95;9.10;9.35;8.55;8.77;8.76;10.19;9.15;7.26;9.34;8.36;8.16;8.80;7.75;11.07;10.17;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;11.00;10.00;10.00;12.00;12.00;13.00;8.50;9.00;9.00;..;..;..;5.00;5.00;5.00;5.00;5.00;5.00;5.00;5.00;5.00;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao Occidental";"Chicken egg, Layer";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7.20;7.20;7.40;7.45;7.45;7.45;7.45;7.45;7.45;9.00;9.00;9.00;9.00;9.00;9.00;9.00;9.00;9.00;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao Occidental";"Chicken egg, Native";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;8.00;6.04;6.72;7.30;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao Occidental";"Duck egg";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;12.00;12.00;12.00;12.50;12.50;13.00;12.88;12.88;12.88;12.50;12.50;12.50;12.00;12.00;12.00;12.00;12.00;12.00;12.00;..;..;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao Oriental";"Chicken egg, Layer";5.80;5.26;5.28;6.00;5.69;5.70;5.64;6.00;5.62;5.67;5.66;5.74;6.00;5.00;5.79;5.17;5.72;5.37;6.00;7.00;6.81;6.82;6.94;6.95;6.99;6.98;6.99;7.00;7.00;7.00;6.90;6.79;6.99;6.96;6.97;7.00;6.99;6.98;6.99;6.96;..;6.95;6.73;6.74;6.81;6.80;6.89;6.77;6.39;6.62;6.72;6.60;6.68;6.68;5.38;5.80;5.89;5.36;5.31;5.61;5.07;4.91;4.63;4.55;4.42;4.44;4.44;4.66;4.80;4.32;4.86;5.87;4.76;4.44;4.84;4.57;5.33;4.78;4.44;4.34;4.29;4.89;4.47;5.72;4.57;4.54;4.75;5.03;5.19;5.24;5.02;4.96;5.04;5.13;4.86;5.48;7.23;5.83;6.09;6.63;5.70;5.60;6.87;6.20;6.39;6.11;6.15;6.59;5.73;5.12;5.53;7.00;7.00;6.00;6.00;5.50;6.00;6.10;5.73;7.50;7.00;8.50;9.00;10.00;9.50;9.71;9.30;9.63;9.78;9.73;8.89;9.66;9.63;9.56;9.80;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao Oriental";"Chicken egg, Native";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;9.00;9.00;9.00;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.87;11.13;10.91;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....Davao Oriental";"Duck egg";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;7.00;7.00;7.00;9.75;10.00;10.50;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....City of Davao";"Chicken egg, Layer";2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....City of Davao";"Chicken egg, Native";2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;..;..;..;10.00;10.00;10.00;10.00;10.50;10.50;10.00;12.50;12.50;10.72;10.72;10.72;*/;*/;*/;*/;*/;*/;*/;*/;*/
"....City of Davao";"Duck egg";2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;2/;10.00;10.00;10.00;9.00;9.00;9.00;9.00;9.00;9.50;9.50;9.50;9.50;10.00;10.00;10.00;*/;*/;*/;*/;*/;*/;*/;*/;*/
